Economy,Year,SteelConsumption
06_HKC,2003,4851000.0
07_INA,2003,5063000.0
08_JPN,2003,76400000.0
09_ROK,2003,47500000.0
10_MAS,2003,6693000.0
11_MEX,2003,20608000.0
12_NZ,2003,1100000.0
13_PNG,2003,-1.0
14_PE,2003,1200000.0
15_RP,2003,3881000.0
16_RUS,2003,32700000.0
17_SIN,2003,3645000.0
18_CT,2003,23830000.0
19_THA,2003,11896000.0
20_USA,2003,105767000.0
21_VN,2003,5230000.0
01_AUS,2004,7500000.0
02_BD,2004,-1.0
03_CDA,2004,19314000.0
04_CHL,2004,2690000.0
05_PRC,2004,296580000.0
06_HKC,2004,5163000.0
07_INA,2004,6175000.0
08_JPN,2004,80500000.0
09_ROK,2004,49100000.0
10_MAS,2004,7709000.0
11_MEX,2004,22298000.0
12_NZ,2004,1200000.0
13_PNG,2004,-1.0
14_PE,2004,1090000.0
15_RP,2004,3284000.0
16_RUS,2004,35200000.0
17_SIN,2004,3996000.0
18_CT,2004,26460000.0
19_THA,2004,14144000.0
20_USA,2004,123822000.0
21_VN,2004,6212000.0
01_AUS,2005,7400000.0
02_BD,2005,-1.0
03_CDA,2005,18014000.0
04_CHL,2005,2840000.0
05_PRC,2005,350170000.0
06_HKC,2005,4204000.0
07_INA,2005,7814000.0
08_JPN,2005,82900000.0
09_ROK,2005,49000000.0
10_MAS,2005,7263000.0
11_MEX,2005,22434000.0
12_NZ,2005,1200000.0
13_PNG,2005,-1.0
14_PE,2005,1265000.0
15_RP,2005,2890000.0
16_RUS,2005,36200000.0
17_SIN,2005,3440000.0
18_CT,2005,23890000.0
19_THA,2005,15273000.0
20_USA,2005,113265000.0
21_VN,2005,7653000.0
01_AUS,2006,7420000.0
02_BD,2006,-1.0
03_CDA,2006,20130000.0
04_CHL,2006,2770000.0
05_PRC,2006,393400000.0
06_HKC,2006,2625000.0
07_INA,2006,7494000.0
08_JPN,2006,83300000.0
09_ROK,2006,52210000.0
10_MAS,2006,7883000.0
11_MEX,2006,25480000.0
12_NZ,2006,1200000.0
13_PNG,2006,-1.0
14_PE,2006,1670000.0
15_RP,2006,3675000.0
16_RUS,2006,41520000.0
17_SIN,2006,3000000.0
18_CT,2006,23790000.0
19_THA,2006,15360000.0
20_USA,2006,134040000.0
21_VN,2006,7148000.0
01_AUS,2007,8126000.0
02_BD,2007,-1.0
03_CDA,2007,18248000.0
04_CHL,2007,2765000.0
05_PRC,2007,435860000.0
06_HKC,2007,2707000.0
07_INA,2007,8694000.0
08_JPN,2007,85900000.0
09_ROK,2007,57404000.0
10_MAS,2007,8947000.0
11_MEX,2007,25111000.0
12_NZ,2007,1230000.0
13_PNG,2007,-1.0
14_PE,2007,1805000.0
15_RP,2007,3950000.0
16_RUS,2007,46959000.0
17_SIN,2007,3800000.0
18_CT,2007,21700000.0
19_THA,2007,14160000.0
20_USA,2007,120381000.0
21_VN,2007,10833000.0
01_AUS,2008,8224000.0
02_BD,2008,-1.0
03_CDA,2008,16799000.0
04_CHL,2008,3005000.0
05_PRC,2008,465480000.0
06_HKC,2008,1985000.0
07_INA,2008,10587000.0
08_JPN,2008,83200000.0
09_ROK,2008,61011000.0
10_MAS,2008,9873000.0
11_MEX,2008,23984000.0
12_NZ,2008,1190000.0
13_PNG,2008,-1.0
14_PE,2008,2514000.0
15_RP,2008,4134000.0
16_RUS,2008,40896000.0
17_SIN,2008,4226000.0
18_CT,2008,20290000.0
19_THA,2008,15655000.0
20_USA,2008,110500000.0
21_VN,2008,9516000.0
01_AUS,2009,5916000.0
02_BD,2009,-1.0
03_CDA,2009,10591000.0
04_CHL,2009,1960000.0
05_PRC,2009,574420000.0
06_HKC,2009,1703000.0
07_INA,2009,8908000.0
08_JPN,2009,56000000.0
09_ROK,2009,47303000.0
10_MAS,2009,7727000.0
11_MEX,2009,17098000.0
12_NZ,2009,740000.0
13_PNG,2009,-1.0
14_PE,2009,1854000.0
15_RP,2009,3993000.0
16_RUS,2009,28477000.0
17_SIN,2009,3540000.0
18_CT,2009,13530000.0
19_THA,2009,12501000.0
20_USA,2009,69400000.0
21_VN,2009,12700000.0
01_AUS,2010,7716000.0
02_BD,2010,-1.0
03_CDA,2010,15656000.0
04_CHL,2010,2738000.0
05_PRC,2010,612063000.0
06_HKC,2010,1929000.0
07_INA,2010,10744000.0
08_JPN,2010,67400000.0
09_ROK,2010,54573000.0
10_MAS,2010,9668000.0
11_MEX,2010,20648000.0
12_NZ,2010,971000.0
13_PNG,2010,-1.0
14_PE,2010,2832000.0
15_RP,2010,4650000.0
16_RUS,2010,41444000.0
17_SIN,2010,3350000.0
18_CT,2010,21350000.0
19_THA,2010,16378000.0
20_USA,2010,92400000.0
21_VN,2010,12293000.0
01_AUS,2011,6672000.0
02_BD,2011,-1.0
03_CDA,2011,15746000.0
04_CHL,2011,3148000.0
05_PRC,2011,667941000.0
06_HKC,2011,1886000.0
07_INA,2011,13148000.0
08_JPN,2011,69600000.0
09_ROK,2011,58741000.0
10_MAS,2011,9578000.0
11_MEX,2011,23140000.0
12_NZ,2011,931000.0
13_PNG,2011,-1.0
14_PE,2011,2833000.0
15_RP,2011,5940000.0
16_RUS,2011,47981000.0
17_SIN,2011,4900000.0
18_CT,2011,21715000.0
19_THA,2011,16881000.0
20_USA,2011,101000000.0
21_VN,2011,11276000.0
01_AUS,2012,7152000.0
02_BD,2012,-1.0
03_CDA,2012,17305000.0
04_CHL,2012,3457000.0
05_PRC,2012,687609000.0
06_HKC,2012,1991000.0
07_INA,2012,15006000.0
08_JPN,2012,68800000.0
09_ROK,2012,56322000.0
10_MAS,2012,10374000.0
11_MEX,2012,23714000.0
12_NZ,2012,974000.0
13_PNG,2012,-1.0
14_PE,2012,3130000.0
15_RP,2012,6986000.0
16_RUS,2012,49488000.0
17_SIN,2012,4782000.0
18_CT,2012,21332000.0
19_THA,2012,19047000.0
20_USA,2012,108300000.0
21_VN,2012,12740000.0
01_AUS,2013,6376000.0
02_BD,2013,-1.0
03_CDA,2013,16445000.0
04_CHL,2013,3105000.0
05_PRC,2013,772340000.0
06_HKC,2013,2436000.0
07_INA,2013,15237000.0
08_JPN,2013,70800000.0
09_ROK,2013,53919000.0
10_MAS,2013,11685000.0
11_MEX,2013,22904000.0
12_NZ,2013,1016000.0
13_PNG,2013,-1.0
14_PE,2013,3235000.0
15_RP,2013,7796000.0
16_RUS,2013,49671000.0
17_SIN,2013,5345000.0
