Economy,Year,GDP,SteelConsumption,Population
05_PRC,2001.0,5334.2513410479705,170648000.0,1290.938
06_HKC,2001.0,240.23449019470326,5057000.0,6.722
07_INA,2001.0,1341.2593723720145,5457000.0,214.50599999999997
08_JPN,2001.0,4545.497083045592,75200000.0,127.723
09_ROK,2001.0,1074.6547615097436,39700000.0,47.713
10_MAS,2001.0,400.5272719943089,8024000.0,23.699
11_MEX,2001.0,1674.1093750803302,18790000.0,103.06700000000001
12_NZ,2001.0,116.53645448016627,1000000.0,3.908
14_PE,2001.0,180.32638310192192,1023000.0,26.261999999999997
15_RP,2001.0,357.18066458503966,3386000.0,79.666
16_RUS,2001.0,2280.923595911167,31861000.0,145.815
17_SIN,2001.0,217.3607118394954,3547000.0,4.019
18_CT,2001.0,650.0596067701862,20910000.0,21.985
19_THA,2001.0,630.584451514175,8178000.0,63.543
20_USA,2001.0,13805.68982578028,114386000.0,284.85200000000003
21_VN,2001.0,230.16778763553023,4036000.0,81.14
01_AUS,2002.0,756.9073448126333,6800000.0,19.475
03_CDA,2002.0,1272.2802731681315,17671000.0,31.320999999999998
04_CHL,2002.0,245.2184137707142,2270000.0,15.623
05_PRC,2002.0,5821.302944795918,205720000.0,1298.647
06_HKC,2002.0,244.21430488688918,4966000.0,6.7589999999999995
07_INA,2002.0,1401.6090077594647,5248000.0,217.50799999999998
08_JPN,2002.0,4550.860441271894,73600000.0,127.902
09_ROK,2002.0,1154.5277632354007,45400000.0,48.004
10_MAS,2002.0,422.119650427079,7640000.0,24.199
11_MEX,2002.0,1673.442334880613,19673000.0,104.35600000000001
12_NZ,2002.0,122.43388875508602,1100000.0,3.964
14_PE,2002.0,190.1605345875724,1310000.0,26.601
15_RP,2002.0,370.2031262839088,4041000.0,81.352
16_RUS,2002.0,2389.123081900046,29260000.0,145.195
17_SIN,2002.0,226.5152637094493,3781000.0,4.131
18_CT,2002.0,685.9883296775987,24470000.0,22.143
19_THA,2002.0,669.3583315851985,10806000.0,64.07300000000001
20_USA,2002.0,14052.277074202771,118257000.0,287.507
21_VN,2002.0,244.71628146334572,5234000.0,81.956
01_AUS,2003.0,779.5066672931823,7000000.0,19.697
03_CDA,2003.0,1295.2102409860302,17233000.0,31.628
04_CHL,2003.0,255.25041600974942,2290000.0,15.8
05_PRC,2003.0,6405.505799291431,258570000.0,1306.344
06_HKC,2003.0,251.67827288954317,4851000.0,6.782
07_INA,2003.0,1468.6110919730352,5063000.0,220.546
08_JPN,2003.0,4620.407607449468,76400000.0,128.06799999999998
09_ROK,2003.0,1188.3925782685574,47500000.0,48.265
10_MAS,2003.0,446.5540433566179,6693000.0,24.688000000000002
11_MEX,2003.0,1697.6467150340925,20608000.0,105.64
12_NZ,2003.0,127.99271793122125,1100000.0,4.022
14_PE,2003.0,198.0807648499432,1200000.0,26.938000000000002
15_RP,2003.0,388.6035865880112,3881000.0,83.03200000000001
16_RUS,2003.0,2563.430021743732,32700000.0,144.585
17_SIN,2003.0,236.56195895819093,3645000.0,4.249
18_CT,2003.0,712.2631358532608,23830000.0,22.307
19_THA,2003.0,717.4807106901437,11896000.0,64.555
20_USA,2003.0,14446.693008459575,105767000.0,290.027
21_VN,2003.0,261.5994130961328,5230000.0,82.74799999999999
01_AUS,2004.0,810.6955515881316,7500000.0,19.949
03_CDA,2004.0,1335.1799265991315,19314000.0,31.95
04_CHL,2004.0,273.6527961105095,2690000.0,15.974
05_PRC,2004.0,7053.180804275417,296580000.0,1314.007
06_HKC,2004.0,273.57434663627026,5163000.0,6.803
07_INA,2004.0,1542.4950647527344,6175000.0,223.615
08_JPN,2004.0,4722.273174084665,80500000.0,128.213
09_ROK,2004.0,1246.6219185287914,49100000.0,48.498000000000005
10_MAS,2004.0,476.84575884657096,7709000.0,25.174
11_MEX,2004.0,1764.2044961348734,22298000.0,106.99600000000001
12_NZ,2004.0,132.17760640940253,1200000.0,4.081
14_PE,2004.0,207.902011683435,1090000.0,27.273000000000003
15_RP,2004.0,414.6307921697744,3284000.0,84.679
16_RUS,2004.0,2747.380457684711,35200000.0,144.045
17_SIN,2004.0,259.151675529653,3996000.0,4.37
18_CT,2004.0,759.2461296294334,26460000.0,22.462
19_THA,2004.0,762.6051428661292,14144000.0,65.002
20_USA,2004.0,14993.607656044644,123822000.0,292.539
21_VN,2004.0,281.31461902517015,6212000.0,83.52799999999999
01_AUS,2005.0,836.5593042414755,7400000.0,20.239
03_CDA,2005.0,1377.9241382599414,18014000.0,32.288000000000004
04_CHL,2005.0,289.36821232077943,2840000.0,16.147000000000002
05_PRC,2005.0,7856.945485460516,350170000.0,1321.6229999999998
06_HKC,2005.0,293.7866916008072,4204000.0,6.827999999999999
07_INA,2005.0,1630.3026961719015,7814000.0,226.713
08_JPN,2005.0,4800.789012602317,82900000.0,128.335
09_ROK,2005.0,1295.5353409139439,49000000.0,48.708999999999996
10_MAS,2005.0,502.2718381878468,7263000.0,25.66
11_MEX,2005.0,1804.9189321539056,22434000.0,108.473
12_NZ,2005.0,136.56445663620622,1200000.0,4.136
14_PE,2005.0,220.96877853482715,1265000.0,27.61
15_RP,2005.0,434.44047409659487,2890000.0,86.275
16_RUS,2005.0,2922.5585740102333,36200000.0,143.618
17_SIN,2005.0,278.5599525672356,3440000.0,4.4910000000000005
18_CT,2005.0,799.0434095494112,23890000.0,22.603
19_THA,2005.0,794.5417873692062,15273000.0,65.425
20_USA,2005.0,15495.176227830138,113265000.0,295.13
21_VN,2005.0,302.54613021590774,7653000.0,84.309
01_AUS,2006.0,860.2693400261559,7420000.0,20.573
03_CDA,2006.0,1414.0727740391815,20130000.0,32.646
04_CHL,2006.0,307.64811257409536,2770000.0,16.319000000000003
05_PRC,2006.0,8856.30801815078,393400000.0,1329.2089999999998
06_HKC,2006.0,314.44791832091704,2625000.0,6.861000000000001
07_INA,2006.0,1719.9848614411908,7494000.0,229.838
08_JPN,2006.0,4868.96053132329,83300000.0,128.433
09_ROK,2006.0,1362.594242929638,52210000.0,48.895
10_MAS,2006.0,530.3229522206193,7883000.0,26.144000000000002
11_MEX,2006.0,1886.051444081641,25480000.0,110.09200000000001
12_NZ,2006.0,140.0781411805417,1200000.0,4.186
14_PE,2006.0,237.6052947896055,1670000.0,27.95
15_RP,2006.0,457.21801592286016,3675000.0,87.809
16_RUS,2006.0,3160.8473992110235,41520000.0,143.32299999999998
17_SIN,2006.0,303.24091066040353,3000000.0,4.612
18_CT,2006.0,842.7259354315477,23790000.0,22.726
19_THA,2006.0,834.0139624971318,15360000.0,65.824
20_USA,2006.0,15908.374598924573,134040000.0,297.827
21_VN,2006.0,323.65766246732466,7148000.0,85.095
01_AUS,2007.0,892.7645435396338,8126000.0,20.947
03_CDA,2007.0,1443.2415275242486,18248000.0,33.02
04_CHL,2007.0,322.73925082493724,2765000.0,16.491
05_PRC,2007.0,10116.68357784957,435860000.0,1336.8
06_HKC,2007.0,334.7764523929912,2707000.0,6.898
07_INA,2007.0,1829.1182831950305,8694000.0,232.99
08_JPN,2007.0,4949.502091612902,85900000.0,128.506
09_ROK,2007.0,1437.0381676517136,57404000.0,49.062
10_MAS,2007.0,563.7268597046034,8947000.0,26.625999999999998
11_MEX,2007.0,1929.2692891964768,25111000.0,111.836
12_NZ,2007.0,145.3456649375627,1230000.0,4.2330000000000005
14_PE,2007.0,257.8454351596866,1805000.0,28.293000000000003
15_RP,2007.0,487.47058794066453,3950000.0,89.29299999999999
16_RUS,2007.0,3430.628260029958,46959000.0,143.15
17_SIN,2007.0,330.8707885577416,3800000.0,4.732
18_CT,2007.0,896.0114115471057,21700000.0,22.833000000000002
19_THA,2007.0,879.3433934047247,14160000.0,66.196
20_USA,2007.0,16191.316215153545,120381000.0,300.595
21_VN,2007.0,346.73285002562307,10833000.0,85.889
01_AUS,2008.0,925.4197882558003,8224000.0,21.343000000000004
03_CDA,2008.0,1457.6791525111414,16799000.0,33.405
04_CHL,2008.0,334.13043129018257,3005000.0,16.660999999999998
05_PRC,2008.0,11093.377485365392,465480000.0,1344.415
06_HKC,2008.0,341.90029704887166,1985000.0,6.94
07_INA,2008.0,1939.1160352414565,10587000.0,236.15900000000002
08_JPN,2008.0,4895.377276722343,83200000.0,128.55100000000002
09_ROK,2008.0,1477.6951845016947,61011000.0,49.218999999999994
10_MAS,2008.0,590.9648444024775,9873000.0,27.111
11_MEX,2008.0,1951.3321153017368,23984000.0,113.662
12_NZ,2008.0,143.09930927677377,1190000.0,4.2780000000000005
14_PE,2008.0,281.37787491174305,2514000.0,28.642
15_RP,2008.0,507.7140561412066,4134000.0,90.75200000000001
16_RUS,2008.0,3610.6660369821284,40896000.0,143.083
17_SIN,2008.0,336.7855017028233,4226000.0,4.851
18_CT,2008.0,886.0018956726103,20290000.0,22.929000000000002
19_THA,2008.0,894.517940148816,15655000.0,66.546
20_USA,2008.0,16144.098862625162,110500000.0,303.374
21_VN,2008.0,366.364070697136,9516000.0,86.70700000000001
01_AUS,2009.0,943.2130870983381,5916000.0,21.739
03_CDA,2009.0,1414.6836283574805,10591000.0,33.79
04_CHL,2009.0,328.9038312929066,1960000.0,16.829
05_PRC,2009.0,12136.134243389597,574420000.0,1352.068
06_HKC,2009.0,333.49279918602747,1703000.0,6.983
07_INA,2009.0,2028.8752185931785,8908000.0,239.34
08_JPN,2009.0,4630.223435457253,56000000.0,128.566
09_ROK,2009.0,1488.15002490979,47303000.0,49.379
10_MAS,2009.0,582.0204217185967,7727000.0,27.605
11_MEX,2009.0,1848.189692427339,17098000.0,115.505
12_NZ,2009.0,145.8411845537174,740000.0,4.324
14_PE,2009.0,284.46128023690017,1854000.0,29.000999999999998
15_RP,2009.0,513.5443002302829,3993000.0,92.221
16_RUS,2009.0,3328.279997520259,28477000.0,143.093
17_SIN,2009.0,334.7533773949502,3540000.0,4.966
18_CT,2009.0,881.8826126961783,13530000.0,23.017
19_THA,2009.0,888.3392064487839,12501000.0,66.881
20_USA,2009.0,15696.014624210069,69400000.0,306.07599999999996
21_VN,2009.0,386.1400278668769,12700000.0,87.565
01_AUS,2010.0,962.5767047501646,7716000.0,22.12
03_CDA,2010.0,1458.3055992042998,15656000.0,34.168
04_CHL,2010.0,348.12555432630995,2738000.0,16.993
05_PRC,2010.0,13426.950528322639,612063000.0,1359.755
06_HKC,2010.0,356.0625333251474,1929000.0,7.025
07_INA,2010.0,2155.149453705227,10744000.0,242.524
08_JPN,2010.0,4824.3103289625205,67400000.0,128.55200000000002
09_ROK,2010.0,1584.8320602715658,54573000.0,49.552
10_MAS,2010.0,625.2345498260061,9668000.0,28.112
11_MEX,2010.0,1942.7822243964295,20648000.0,117.319
12_NZ,2010.0,147.2444059954131,971000.0,4.37
14_PE,2010.0,308.16390008929886,2832000.0,29.374000000000002
15_RP,2010.0,552.7393609889741,4650000.0,93.727
16_RUS,2010.0,3478.176596667829,41444000.0,143.154
17_SIN,2010.0,385.77105425048865,3350000.0,5.074
18_CT,2010.0,971.6179611200791,21350000.0,23.101999999999997
19_THA,2010.0,955.08537807565,16378000.0,67.209
20_USA,2010.0,16093.425254396423,92400000.0,308.642
21_VN,2010.0,410.9427217086322,12293000.0,88.47200000000001
01_AUS,2011.0,986.1704712850284,6672000.0,22.48
03_CDA,2011.0,1504.1141717848457,15746000.0,34.539
04_CHL,2011.0,369.39922437467203,3148000.0,17.153
05_PRC,2011.0,14707.404013175938,667941000.0,1367.48
06_HKC,2011.0,373.2058308314354,1886000.0,7.065
07_INA,2011.0,2288.117524352482,13148000.0,245.707
08_JPN,2011.0,4818.7420453487875,69600000.0,128.506
09_ROK,2011.0,1643.1806410741315,58741000.0,49.745
10_MAS,2011.0,658.3339219407883,9578000.0,28.635
11_MEX,2011.0,2013.9464913290055,23140000.0,119.09
12_NZ,2011.0,151.21381846874078,931000.0,4.418
14_PE,2011.0,327.6620229602576,2833000.0,29.76
15_RP,2011.0,572.9682486034266,5940000.0,95.27799999999999
16_RUS,2011.0,3661.994244348428,47981000.0,143.264
17_SIN,2011.0,410.2701132241721,4900000.0,5.176
18_CT,2011.0,997.9045914714656,21715000.0,23.185
19_THA,2011.0,963.1077081786116,16881000.0,67.53
20_USA,2011.0,16351.154165093647,101000000.0,311.052
21_VN,2011.0,436.58679166771867,11276000.0,89.43700000000001
01_AUS,2012.0,1024.551634586286,7152000.0,22.822
03_CDA,2012.0,1530.3680677607326,17305000.0,34.900999999999996
04_CHL,2012.0,389.046194955576,3457000.0,17.31
05_PRC,2012.0,15862.856222067341,687609000.0,1375.1989999999998
06_HKC,2012.0,379.55147867404287,1991000.0,7.106
07_INA,2012.0,2426.092170072391,15006000.0,248.88299999999998
08_JPN,2012.0,4890.786555842008,68800000.0,128.42600000000002
09_ROK,2012.0,1680.8488787002234,56322000.0,49.953
10_MAS,2012.0,694.3675275905579,10374000.0,29.171
11_MEX,2012.0,2087.300921133934,23714000.0,120.829
12_NZ,2012.0,154.99328172089247,974000.0,4.467
14_PE,2012.0,347.77956913483155,3130000.0,30.159000000000002
15_RP,2012.0,611.2644085884792,6986000.0,96.866
16_RUS,2012.0,3795.8731495318334,49488000.0,143.421
17_SIN,2012.0,427.0226631172801,4782000.0,5.271
18_CT,2012.0,1016.2307502286644,21332000.0,23.264
19_THA,2012.0,1032.86354426239,19047000.0,67.844
20_USA,2012.0,16714.808878687076,108300000.0,313.336
21_VN,2012.0,459.49610358133737,12740000.0,90.45200000000001
01_AUS,2013.0,1051.594494220124,6376000.0,23.151
03_CDA,2013.0,1568.2447058892649,16445000.0,35.256
04_CHL,2013.0,404.7831302631086,3105000.0,17.463
05_PRC,2013.0,17093.438731536888,772340000.0,1382.793
06_HKC,2013.0,391.32322539044884,2436000.0,7.149
07_INA,2013.0,2560.9165092993153,15237000.0,252.033
08_JPN,2013.0,4988.615386495454,70800000.0,128.313
09_ROK,2013.0,1729.5297068762252,53919000.0,50.169
10_MAS,2013.0,726.9592126060304,11685000.0,29.706
11_MEX,2013.0,2115.5648951196745,22904000.0,122.536
12_NZ,2013.0,158.12106163153197,1016000.0,4.518
14_PE,2013.0,368.1334317520608,3235000.0,30.566
15_RP,2013.0,654.4442747272374,7796000.0,98.48100000000001
16_RUS,2013.0,3863.642941656346,49671000.0,143.59799999999998
17_SIN,2013.0,448.84816404596046,5345000.0,5.361000000000001
18_CT,2013.0,1040.1503310095854,22285000.0,23.34
19_THA,2013.0,1060.6205117402114,20732000.0,68.143
